title,link,image,author,discount,publisher,pubdate,isbn,description
Keyword Book(키워드 북) (키워드로 정리하는 일기의 기적),https://search.shopping.naver.com/book/catalog/32493371712,https://shopping-phinf.pstatic.net/main_3249337/32493371712.20220527070530.jpg,메이드마인드 편집부,0,메이드마인드,20161114,9791195924202,"키워드로 스마트하게 기록하는 SNS형 다이어리!

《키워드북》은 오늘을 가장 스마트하게 담는 새로운 다이어리북이다. 모바일과 SNS 환경에 익숙한 분들도 일상을 종이 위에 간편하게 기록할 수 있다. 마라톤을 뛰려면 가볍고 몸에 맞는 운동화가 필요한 것처럼 나에 대한 기록도 마찬가지다. 간단한 사진과 해시태그만으로 자신을 표현하는 스마트한 시대에는 내가 관심 두는 이슈들을 빠르고 쉽게 정리할 수 있는 편리한 도구가 필요하다. 

키워드북은 오늘, 이번 주, 이번 달에 내게 가장 중요한 이슈들을 자연스럽게 연결하도록 돕는다. 오늘 만난 특별한 사람들, 나만의 핫플레이스, 마음에 와 닿았던 영화, 기억하고 싶은 여행지 등 내게 의미 있었던 순간들을 적는 것으로 일기는 완성되고 연결된다. 

다이어리라고 꼭 일기만 써야 하는 것은 아니다. 내게 중요한 이슈를 미리 월별로 작성하는 키워드 캘린더, 나무가 자라나듯 미래를 그려보는 키워드 트리, 올해 반드시 이루고 싶은 일을 적는 위시키워드 등 키워드로 꾸미는 다양한 소재들이 마련되어 있어 꾸준히 이어갈 수 있는 강력한 동기부여를 제공한다.
 
이제 남들이 정해주는 이슈가 아니라 지금 나에게 필요한 키워드를 정리해 보자. 오늘의 주제와 감성에 따라 키워드를 적고, 댓글 형식의 내용을 달면 끝! 일기도 SNS에 포스팅 하듯이 빠르고 간편하게 기록할 수 있다. 지금 내게 가장 중요한 키워드를 찾는 것이 이 책을 손에 쥔 당신이 해야 할 전부이다."
2018 부동산등기법 객문 Keyword 노트 (법무사.법원승진.법원행시.법원직 9급 공채 시험 대비),https://search.shopping.naver.com/book/catalog/32504369220,https://shopping-phinf.pstatic.net/main_3250436/32504369220.20220521122425.jpg,이민주,13300,법학사,20180108,9791162210611,"- 독자대상 : 법무사시험 준비생
- 구성 : 이론
- 특징 : 
1. 객관식 문제 순서에 따라 각 문항을 keyword화 함
2. 부동산등기법에서 몸통과도 같은 A급 등기예규 원문 60여 개를 핵심정리화 시킴
3. 최근 7년간의 출제가능 등기선례를 실어 고득점에 소홀함이 없도록 함"
Keyword Listening (초급),https://search.shopping.naver.com/book/catalog/39045527620,https://shopping-phinf.pstatic.net/main_3904552/39045527620.20230330103318.jpg,,4500,소명,19970430,9788982141577,"키워드로 영어 듣기를 정복할 수 있도록 돕는 교재이다. 초급, 중급, 고급의 단계별로 구성되어 학습자가 자신의 실력에 맞는 교재를 선택해 최대한의 효과를 볼 수 있다."
한국사능력검정시험 기본(4.5.6급) 기출 분석 키워드 트레이닝(2021) (기출 Keyword 학습법으로 단기 고득점 합격 완성!),https://search.shopping.naver.com/book/catalog/32511261727,https://shopping-phinf.pstatic.net/main_3251126/32511261727.20221019151010.jpg,한국사수험연구소,16200,시대고시기획,20210305,9791125492399,"[특징]
한능검은 매번 같은 주제가 반복 출제된다! 합격에 필요한 키워드만 트레이닝하는 효율적인 전략서!
1. 한능검 기출 키워드 빅데이터 분석으로 50개의 소주제 분류!
2. 나온 놈이 또 나온다! 50개 주제 스피드 핵심이론, 1,110개의 키워드 연결 트레이닝, 200개의 기출 완전 정복으로 반복 학습!
3. 실제 크기 기출 동형 최종모의고사로 마지막 실전 점검하고 합격!"
한국사능력검정시험 심화(1ㆍ2ㆍ3급) 기출 분석 키워드 트레이닝(2021) (기출 keyword 학습법만으로 단기 고득점 합격 완성!),https://search.shopping.naver.com/book/catalog/32465381749,https://shopping-phinf.pstatic.net/main_3246538/32465381749.20221019132028.jpg,한국사수험연구소,16200,시대고시기획,20210305,9791125492504,"[특징]
한능검은 매번 같은 주제가 반복 출제된다! 합격에 필요한 키워드만 트레이닝하는 효율적인 전략서!
1. 한능검 기출 키워드 빅데이터 분석으로 50개의 소주제 분류!
2. 나온 놈이 또 나온다! 50개 주제 스피드 핵심이론, 1,110개의 키워드 연결 트레이닝, 200개의 기출 완전 정복으로 반복 학습!
3. 실제 크기 기출 동형 최종모의고사로 마지막 실전 점검하고 합격!"
New 비즈니스영어 실무백과 Keyword 8000 (신개념 비즈니스용어의 네트워크),https://search.shopping.naver.com/book/catalog/32492126635,https://shopping-phinf.pstatic.net/main_3249212/32492126635.20220527065031.jpg,Yoichi Hareyama,0,인터윈,20081125,9788988026915,"이 책에는 경제, 금융, 산업, 비즈니스 등 4개 분야의 중심 문장이 8,000개 정도 수록되어 있다. 개개의 단어를 개별적으로 취급하는 것이 아니라 그 단어의 네트워크, 즉 그 단어의 행동 범위를 철저하게 추적하였다."
C2 Key Word Transformation,https://search.shopping.naver.com/book/catalog/37712145709,https://shopping-phinf.pstatic.net/main_3771214/37712145709.20230205202702.jpg,,31720,Prosperity Education,20230123,9781913825737,"C2 Key Word Transformation 200 exam-styled practice exercises?200 exam-styled practice exercisesThis edition of practice tests has been written to closely replicate the Cambridgeexam experience, although it is also suitable for any English-language studentworking at CEFR C2 level.This resource contains 200 exam-styled, single-sentence assessments, each carryinga lexical/lexico-grammatical focus, testing lexis, grammar and vocabulary."
Keyword Search in Databases,https://search.shopping.naver.com/book/catalog/32456299347,https://shopping-phinf.pstatic.net/main_3245629/32456299347.20220519115858.jpg,"Chang, Lijun",64750,Morgan & Claypool,20100101,9781608451951,"It has become highly desirable to provide users with flexible ways to query/search information over databases as simple as keyword search like Google search. This book surveys the recent developments on keyword search over databases, and focuses on finding structural information among objects in a database using a set of keywords."
Keyword Search in Databases,https://search.shopping.naver.com/book/catalog/32884613801,https://shopping-phinf.pstatic.net/main_3288461/32884613801.20220611201438.jpg,,58250,Springer,20091217,9783031794254,It has become highly desirable to provide users with flexible ways to query/search information over databases as simple as keyword search like Google search.
Amazon Keyword Research Hacks (A Blueprint For Finding Profitable Keywords To Boost Your Rankings And Sales),https://search.shopping.naver.com/book/catalog/32545658899,https://shopping-phinf.pstatic.net/main_3254565/32545658899.20220523152147.jpg,,23510,Alex Wong Copywriting,20190311,9781777122829,★Rank Higher and Sell More Products on Amazon★How would you like to maximize your product’s visibility and boost your sales on Amazon?Would you like to discover FREE easy ways to find profitable keywords??And create profit-boosting listings for all your products?This book is going to show you exactly HOW!Selling products through Amazon is fast becoming a way for a lot of people to make money.
