hotel_id,hotel_name,hotel_grade,n_reviews,avg_rating,cleanliness,service,comfort,condition,neighbourhood,region,locality
1082502624,나주 시티 호텔 (Naju City Hotel),2.5,67,7.4,7.6,7.6,7.6,7.4,6.6,전라남도,나주시
1082502624,나주 시티 호텔 (Naju City Hotel),2.5,67,7.4,7.6,7.6,7.6,7.4,6.6,전라남도,나주시
890383840,꽃대궐 (Kkot Daegwol),3.0,67,6.0,8.0,10.0,4.0,8.0,0.0,전라북도,전주시
890383840,꽃대궐 (Kkot Daegwol),3.0,67,6.0,8.0,10.0,4.0,8.0,0.0,전라북도,전주시
339431,베스트 웨스턴 제주 호텔 (Best Western Jeju Hotel),4.0,67,8.4,8.4,8.4,8.4,8.2,8.4,제주특별자치도,제주시
339431,베스트 웨스턴 제주 호텔 (Best Western Jeju Hotel),4.0,67,8.4,8.4,8.4,8.4,8.2,8.4,제주특별자치도,제주시
339431,베스트 웨스턴 제주 호텔 (Best Western Jeju Hotel),4.0,67,8.4,8.4,8.4,8.4,8.2,8.4,제주특별자치도,제주시
339431,베스트 웨스턴 제주 호텔 (Best Western Jeju Hotel),4.0,67,8.4,8.4,8.4,8.4,8.2,8.4,제주특별자치도,제주시
339431,베스트 웨스턴 제주 호텔 (Best Western Jeju Hotel),4.0,67,8.4,8.4,8.4,8.4,8.2,8.4,제주특별자치도,제주시
339431,베스트 웨스턴 제주 호텔 (Best Western Jeju Hotel),4.0,67,8.4,8.4,8.4,8.4,8.2,8.4,제주특별자치도,제주시
339431,베스트 웨스턴 제주 호텔 (Best Western Jeju Hotel),4.0,67,8.4,8.4,8.4,8.4,8.2,8.4,제주특별자치도,제주시
339431,베스트 웨스턴 제주 호텔 (Best Western Jeju Hotel),4.0,67,8.4,8.4,8.4,8.4,8.2,8.4,제주특별자치도,제주시
339431,베스트 웨스턴 제주 호텔 (Best Western Jeju Hotel),4.0,67,8.4,8.4,8.4,8.4,8.2,8.4,제주특별자치도,제주시
339431,베스트 웨스턴 제주 호텔 (Best Western Jeju Hotel),4.0,67,8.4,8.4,8.4,8.4,8.2,8.4,제주특별자치도,제주시
339431,베스트 웨스턴 제주 호텔 (Best Western Jeju Hotel),4.0,67,8.4,8.4,8.4,8.4,8.2,8.4,제주특별자치도,제주시
339431,베스트 웨스턴 제주 호텔 (Best Western Jeju Hotel),4.0,67,8.4,8.4,8.4,8.4,8.2,8.4,제주특별자치도,제주시
339431,베스트 웨스턴 제주 호텔 (Best Western Jeju Hotel),4.0,67,8.4,8.4,8.4,8.4,8.2,8.4,제주특별자치도,제주시
339431,베스트 웨스턴 제주 호텔 (Best Western Jeju Hotel),4.0,67,8.4,8.4,8.4,8.4,8.2,8.4,제주특별자치도,제주시
339431,베스트 웨스턴 제주 호텔 (Best Western Jeju Hotel),4.0,67,8.4,8.4,8.4,8.4,8.2,8.4,제주특별자치도,제주시
339431,베스트 웨스턴 제주 호텔 (Best Western Jeju Hotel),4.0,67,8.4,8.4,8.4,8.4,8.2,8.4,제주특별자치도,제주시
339431,베스트 웨스턴 제주 호텔 (Best Western Jeju Hotel),4.0,67,8.4,8.4,8.4,8.4,8.2,8.4,제주특별자치도,제주시
339431,베스트 웨스턴 제주 호텔 (Best Western Jeju Hotel),4.0,67,8.4,8.4,8.4,8.4,8.2,8.4,제주특별자치도,제주시
339431,베스트 웨스턴 제주 호텔 (Best Western Jeju Hotel),4.0,67,8.4,8.4,8.4,8.4,8.2,8.4,제주특별자치도,제주시
339431,베스트 웨스턴 제주 호텔 (Best Western Jeju Hotel),4.0,67,8.4,8.4,8.4,8.4,8.2,8.4,제주특별자치도,제주시
339431,베스트 웨스턴 제주 호텔 (Best Western Jeju Hotel),4.0,67,8.4,8.4,8.4,8.4,8.2,8.4,제주특별자치도,제주시
339431,베스트 웨스턴 제주 호텔 (Best Western Jeju Hotel),4.0,67,8.4,8.4,8.4,8.4,8.2,8.4,제주특별자치도,제주시
339431,베스트 웨스턴 제주 호텔 (Best Western Jeju Hotel),4.0,67,8.4,8.4,8.4,8.4,8.2,8.4,제주특별자치도,제주시
339431,베스트 웨스턴 제주 호텔 (Best Western Jeju Hotel),4.0,67,8.4,8.4,8.4,8.4,8.2,8.4,제주특별자치도,제주시
339431,베스트 웨스턴 제주 호텔 (Best Western Jeju Hotel),4.0,67,8.4,8.4,8.4,8.4,8.2,8.4,제주특별자치도,제주시
437737,그랜드 스위트 (The Grand Suite),4.0,67,8.6,8.6,8.0,8.2,8.4,0.0,서울특별시,서울특별시
437737,그랜드 스위트 (The Grand Suite),4.0,67,8.6,8.6,8.0,8.2,8.4,0.0,서울특별시,서울특별시
568818,울산  호텔 (Ulsan Hotel),3.0,67,7.6,6.8,7.8,6.8,7.0,0.0,0.0,울산광역시
568818,울산  호텔 (Ulsan Hotel),3.0,67,7.6,6.8,7.8,6.8,7.0,0.0,0.0,울산광역시
568831,속리산 그랜드 호텔 & 콘도 (Songnisan Grand Hotel & Condo),2.5,67,7.0,7.6,7.4,7.4,6.6,0.0,충청북도,보은군
568831,속리산 그랜드 호텔 & 콘도 (Songnisan Grand Hotel & Condo),2.5,67,7.0,7.6,7.4,7.4,6.6,0.0,충청북도,보은군
601622,샐리스제주 (Sally's Jeju),3.0,67,8.6,8.6,8.8,8.4,8.4,8.0,제주특별자치도,제주시
601622,샐리스제주 (Sally's Jeju),3.0,67,8.6,8.6,8.8,8.4,8.4,8.0,제주특별자치도,제주시
601622,샐리스제주 (Sally's Jeju),3.0,67,8.6,8.6,8.8,8.4,8.4,8.0,제주특별자치도,제주시
601622,샐리스제주 (Sally's Jeju),3.0,67,8.6,8.6,8.8,8.4,8.4,8.0,제주특별자치도,제주시
601636,제주 해바라기 펜션 (Jeju Sunflower Pension),2.5,67,9.0,9.6,9.6,9.0,9.2,10.0,제주특별자치도,서귀포시
601636,제주 해바라기 펜션 (Jeju Sunflower Pension),2.5,67,9.0,9.6,9.6,9.0,9.2,10.0,제주특별자치도,서귀포시
699941,MK 호텔 (HOTEL MK),2.5,67,7.0,8.0,9.0,8.0,8.0,0.0,경기도,수원시
699941,MK 호텔 (HOTEL MK),2.5,67,7.0,8.0,9.0,8.0,8.0,0.0,경기도,수원시
752299584,아트 인 티아라 (Art in Tiara),3.0,67,8.2,7.8,8.8,8.2,8.4,8.2,경상북도,경주시
752299584,아트 인 티아라 (Art in Tiara),3.0,67,8.2,7.8,8.8,8.2,8.4,8.2,경상북도,경주시
1461857856,르그랑샤리오 (Legrandchariot),3.0,67,7.4,6.6,9.4,10.0,8.0,0.0,강원도,홍천군
1461857856,르그랑샤리오 (Legrandchariot),3.0,67,7.4,6.6,9.4,10.0,8.0,0.0,강원도,홍천군
568901,제니스 호텔 (Zenith Hotel),3.0,67,8.6,8.4,8.8,8.0,8.4,0.0,경기도,부천시
568901,제니스 호텔 (Zenith Hotel),3.0,67,8.6,8.4,8.8,8.0,8.4,0.0,경기도,부천시
470614,이코노미 호텔 명동 프리미어 (Ekonomy Hotel Myeongdong premier),3.0,67,6.8,6.2,7.2,6.4,6.2,9.4,서울특별시,서울특별시
470614,이코노미 호텔 명동 프리미어 (Ekonomy Hotel Myeongdong premier),3.0,67,6.8,6.2,7.2,6.4,6.2,9.4,서울특별시,서울특별시
470614,이코노미 호텔 명동 프리미어 (Ekonomy Hotel Myeongdong premier),3.0,67,6.8,6.2,7.2,6.4,6.2,9.4,서울특별시,서울특별시
470614,이코노미 호텔 명동 프리미어 (Ekonomy Hotel Myeongdong premier),3.0,67,6.8,6.2,7.2,6.4,6.2,9.4,서울특별시,서울특별시
470614,이코노미 호텔 명동 프리미어 (Ekonomy Hotel Myeongdong premier),3.0,67,6.8,6.2,7.2,6.4,6.2,9.4,서울특별시,서울특별시
470614,이코노미 호텔 명동 프리미어 (Ekonomy Hotel Myeongdong premier),3.0,67,6.8,6.2,7.2,6.4,6.2,9.4,서울특별시,서울특별시
470614,이코노미 호텔 명동 프리미어 (Ekonomy Hotel Myeongdong premier),3.0,67,6.8,6.2,7.2,6.4,6.2,9.4,서울특별시,서울특별시
1547677280,숲속애통나무마을 (SSE Log Town),3.0,67,8.6,8.2,0.0,8.8,0.0,0.0,충청남도,보령시
1547677280,숲속애통나무마을 (SSE Log Town),3.0,67,8.6,8.2,0.0,8.8,0.0,0.0,충청남도,보령시
536162,24게스트하우스 명동타운 (24 Guesthouse Myeongdong Town),2.0,67,7.8,7.2,7.6,7.0,7.2,10.0,0.0,서울특별시
536162,24게스트하우스 명동타운 (24 Guesthouse Myeongdong Town),2.0,67,7.8,7.2,7.6,7.0,7.2,10.0,0.0,서울특별시
1209151072,강화 산들바다 펜션 (Ganghwa Sun File And Sea Pension),3.0,67,4.0,2.0,4.0,2.0,2.0,0.0,인천광역시,강화군
1209151072,강화 산들바다 펜션 (Ganghwa Sun File And Sea Pension),3.0,67,4.0,2.0,4.0,2.0,2.0,0.0,인천광역시,강화군
1065070176,더베네치아스위트 (The Venezia Suite Hotel),2.5,67,7.4,7.8,7.2,7.6,7.6,7.6,강원도,춘천시
1065070176,더베네치아스위트 (The Venezia Suite Hotel),2.5,67,7.4,7.8,7.2,7.6,7.6,7.6,강원도,춘천시
1065070176,더베네치아스위트 (The Venezia Suite Hotel),2.5,67,7.4,7.8,7.2,7.6,7.6,7.6,강원도,춘천시
1065070176,더베네치아스위트 (The Venezia Suite Hotel),2.5,67,7.4,7.8,7.2,7.6,7.6,7.6,강원도,춘천시
1065070176,더베네치아스위트 (The Venezia Suite Hotel),2.5,67,7.4,7.8,7.2,7.6,7.6,7.6,강원도,춘천시
725200480,모텔 32일 (Motel 32 days),2.5,67,6.4,7.6,5.6,6.6,7.0,6.0,0.0,영동
725200480,모텔 32일 (Motel 32 days),2.5,67,6.4,7.6,5.6,6.6,7.0,6.0,0.0,영동
339561,센트럴 투어리스트 호텔 (Central Tourist Hotel),3.0,67,6.6,6.2,7.2,5.8,6.2,6.0,서울특별시,서울특별시
339561,센트럴 투어리스트 호텔 (Central Tourist Hotel),3.0,67,6.6,6.2,7.2,5.8,6.2,6.0,서울특별시,서울특별시
631713408,호텔 더 안 (Hotel The Ann),3.0,67,7.2,7.0,6.8,7.0,6.8,0.0,0.0,창원시
631713408,호텔 더 안 (Hotel The Ann),3.0,67,7.2,7.0,6.8,7.0,6.8,0.0,0.0,창원시
1730915968,호텔야자 마산오동점 (Hotel YaJa Masan Odong),3.0,67,8.8,8.0,8.6,8.0,8.0,0.0,경상남도,창원시
1730915968,호텔야자 마산오동점 (Hotel YaJa Masan Odong),3.0,67,8.8,8.0,8.6,8.0,8.0,0.0,경상남도,창원시
1213279872,디자인 호텔 힙 (Design Hotel Hip),2.5,67,7.6,7.6,7.6,7.6,7.6,8.0,서울특별시,서울특별시
1213279872,디자인 호텔 힙 (Design Hotel Hip),2.5,67,7.6,7.6,7.6,7.6,7.6,8.0,서울특별시,서울특별시
1249980032,가평 첫눈애펜션 (First Love Pension),3.0,67,7.6,7.6,0.0,7.6,0.0,0.0,경기도,가평군
1249980032,가평 첫눈애펜션 (First Love Pension),3.0,67,7.6,7.6,0.0,7.6,0.0,0.0,경기도,가평군
1020636800,강촌마운틴펜션 (Gangchon Mountain Pension),2.5,67,8.0,8.0,8.0,8.0,8.0,0.0,강원도,춘천시
1020636800,강촌마운틴펜션 (Gangchon Mountain Pension),2.5,67,8.0,8.0,8.0,8.0,8.0,0.0,강원도,춘천시
568982,플로체호텔 (Floce Hotel),3.5,67,6.8,6.8,7.4,7.2,7.0,8.6,경기도,부천시
568982,플로체호텔 (Floce Hotel),3.5,67,6.8,6.8,7.4,7.2,7.0,8.6,경기도,부천시
568987,소토보체 (Sotto Voce),3.0,67,8.6,9.2,9.0,8.6,8.6,8.0,강원도,홍천군
568987,소토보체 (Sotto Voce),3.0,67,8.6,9.2,9.0,8.6,8.6,8.0,강원도,홍천군
568991,코리아관광호텔 (Korea Tourist Hotel),3.0,67,8.4,8.0,8.0,8.2,8.0,0.0,경기도,수원시
568991,코리아관광호텔 (Korea Tourist Hotel),3.0,67,8.4,8.0,8.0,8.2,8.0,0.0,경기도,수원시
714354336,백패커스 하우스 - 호스텔 (Backpacker's House - Hostel),2.0,67,6.8,5.6,8.0,7.2,6.4,8.6,0.0,부산광역시
714354336,백패커스 하우스 - 호스텔 (Backpacker's House - Hostel),2.0,67,6.8,5.6,8.0,7.2,6.4,8.6,0.0,부산광역시
1263447712,꿈에펜션 (In My Dream Pension Gapyeong),3.0,67,3.0,4.0,4.0,3.0,3.0,0.0,경기도,가평군
1263447712,꿈에펜션 (In My Dream Pension Gapyeong),3.0,67,3.0,4.0,4.0,3.0,3.0,0.0,경기도,가평군
569000,세븐 호텔 (Seven Hotel),2.5,67,7.6,7.2,7.4,7.4,7.4,0.0,경기도,안산시
569000,세븐 호텔 (Seven Hotel),2.5,67,7.6,7.2,7.4,7.4,7.4,0.0,경기도,안산시
569007,베니키아 프리미어 호텔 시흥 (Benikea Premier Hotel Siheung),3.0,67,5.6,6.0,6.0,6.0,5.8,5.0,경기도,시흥시
569007,베니키아 프리미어 호텔 시흥 (Benikea Premier Hotel Siheung),3.0,67,5.6,6.0,6.0,6.0,5.8,5.0,경기도,시흥시
672902848,슬리퍼앤시퍼 게스트하우스 (Slippers n Sippers GuestHouse),2.5,67,10.0,9.2,9.8,10.0,9.4,0.0,서울특별시,서울특별시
672902848,슬리퍼앤시퍼 게스트하우스 (Slippers n Sippers GuestHouse),2.5,67,10.0,9.2,9.8,10.0,9.4,0.0,서울특별시,서울특별시
686337728,이화 스카이 라운지 (Ewha Sky Lounge),2.5,67,8.0,10.0,10.0,10.0,8.0,0.0,서울특별시,서울특별시
686337728,이화 스카이 라운지 (Ewha Sky Lounge),2.5,67,8.0,10.0,10.0,10.0,8.0,0.0,서울특별시,서울특별시
1183788736,이스테이 호텔 (E-stay Hotel),3.0,67,9.2,9.4,9.2,9.6,9.4,8.0,0.0,울산광역시
1183788736,이스테이 호텔 (E-stay Hotel),3.0,67,9.2,9.4,9.2,9.6,9.4,8.0,0.0,울산광역시
1183788736,이스테이 호텔 (E-stay Hotel),3.0,67,9.2,9.4,9.2,9.6,9.4,8.0,0.0,울산광역시
569029,한양대학교 ERICA 캠퍼스 게스트하우스 (Hanyang Univ. ERICA Campus Guest House),2.5,67,7.0,6.4,7.4,7.4,6.8,8.6,경기도,안산시
569029,한양대학교 ERICA 캠퍼스 게스트하우스 (Hanyang Univ. ERICA Campus Guest House),2.5,67,7.0,6.4,7.4,7.4,6.8,8.6,경기도,안산시
1210789600,오라카이 대학로호텔 (Orakai Daehakro Hotel),3.5,67,9.2,9.4,9.2,9.2,9.4,10.0,서울특별시,서울특별시
1210789600,오라카이 대학로호텔 (Orakai Daehakro Hotel),3.5,67,9.2,9.4,9.2,9.2,9.4,10.0,서울특별시,서울특별시
1210789600,오라카이 대학로호텔 (Orakai Daehakro Hotel),3.5,67,9.2,9.4,9.2,9.2,9.4,10.0,서울특별시,서울특별시
1210789600,오라카이 대학로호텔 (Orakai Daehakro Hotel),3.5,67,9.2,9.4,9.2,9.2,9.4,10.0,서울특별시,서울특별시
569056,돈키호테스테이 (Don Quixote Stay),2.0,67,6.0,7.0,7.2,6.0,6.2,8.0,0.0,서울특별시
